Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,9.567981,11.404177,9.567981,10.395907,10.395907,2845720874
2021-02-11,10.392331,11.672607,10.363343,11.672607,11.672607,2295170444
2021-02-12,11.666696,12.221803,11.148126,12.028255,12.028255,1912353387
2021-02-13,12.022012,17.751038,11.841765,16.592817,16.592817,4767114007
2021-02-14,16.605288,17.571846,15.645705,16.143665,16.143665,4709725460
2021-02-15,16.143177,16.547306,13.451436,14.642385,14.642385,3259111462
2021-02-16,14.635143,15.456415,13.793352,14.353540,14.353540,2332812588
2021-02-17,14.359669,15.710879,13.765339,15.248035,15.248035,2573562260
2021-02-18,15.248596,15.744486,14.672420,14.970126,14.970126,1555231634
2021-02-19,14.971031,15.828891,14.367150,15.376612,15.376612,2345226652
2021-02-20,15.376647,17.328510,14.451834,15.105356,15.105356,2589293778
2021-02-21,15.094329,16.270617,14.859602,15.662422,15.662422,1564244576
2021-02-22,15.660725,15.670935,11.648613,13.945222,13.945222,2172383155
2021-02-23,13.942430,13.947314,9.370183,11.318226,11.318226,2358360486
2021-02-24,11.322950,12.484312,10.915415,11.883303,11.883303,1796018617
2021-02-25,11.881364,12.142844,10.978755,10.993837,10.993837,1381012967
2021-02-26,11.002611,11.278554,10.123517,10.723517,10.723517,1583919447
2021-02-27,10.726233,11.436719,10.726233,11.112076,11.112076,1091641277
2021-02-28,11.110650,11.115086,9.795090,10.312784,10.312784,1105003274
2021-03-01,10.317604,11.138906,10.215783,10.994433,10.994433,942888235
2021-03-02,10.993455,11.467464,10.597997,10.903848,10.903848,987035689
2021-03-03,10.905038,11.728115,10.850385,11.287715,11.287715,1066025293
2021-03-04,11.284957,11.686569,10.713695,11.018293,11.018293,1066962092
2021-03-05,11.017228,11.072335,10.383295,10.947262,10.947262,913522947
2021-03-06,10.946422,11.219386,10.656872,11.146799,11.146799,752329048
2021-03-07,11.146900,11.756056,11.114445,11.526580,11.526580,894072080
2021-03-08,11.526946,11.960414,11.075108,11.688627,11.688627,1029331064
2021-03-09,11.689076,12.640584,11.533908,12.402166,12.402166,1198339180
2021-03-10,12.400021,12.666088,11.732788,11.990689,11.990689,1184671771
2021-03-11,11.984032,12.560472,11.763593,12.236422,12.236422,1147959108
2021-03-12,12.239516,12.482123,11.616752,11.939381,11.939381,1047735920
2021-03-13,11.940264,14.218599,11.577210,13.827466,13.827466,1481862952
2021-03-14,13.822986,14.080549,12.784166,12.784166,12.784166,1134554617
2021-03-15,12.779202,13.082439,11.893624,12.169474,12.169474,1301008665
2021-03-16,12.167573,12.546516,11.634022,12.420075,12.420075,1120201396
2021-03-17,12.421069,12.502020,11.833444,12.483177,12.483177,959502545
2021-03-18,12.486889,12.624095,12.175766,12.214660,12.214660,753948208
2021-03-19,12.214136,12.432815,11.999395,12.289080,12.289080,653393039
2021-03-20,12.288664,12.866542,12.265468,12.328921,12.328921,765654172
2021-03-21,12.329683,12.483050,11.963087,11.999412,11.999412,772462921
2021-03-22,11.999988,12.425601,11.677507,11.749688,11.749688,909034193
2021-03-23,11.748014,12.647730,11.695519,12.325803,12.325803,1355496005
2021-03-24,12.324544,12.637275,11.296597,11.409787,11.409787,955942125
2021-03-25,11.403748,11.507045,10.853666,11.141898,11.141898,915262697
2021-03-26,11.140513,11.770349,11.114334,11.769035,11.769035,756466306
2021-03-27,11.768967,11.974120,11.486063,11.789006,11.789006,657272572
2021-03-28,11.788681,12.051736,11.743222,11.880670,11.880670,626362299
2021-03-29,11.879184,12.615362,11.782263,12.574763,12.574763,793403663
2021-03-30,12.578175,13.037834,12.352134,13.013592,13.013592,871468963
2021-03-31,13.019128,14.332059,12.724376,14.079754,14.079754,1414616249
2021-04-01,14.083183,14.512464,13.688680,14.410887,14.410887,1318418510
2021-04-02,14.411135,15.605242,14.178388,15.288599,15.288599,1423061752
2021-04-03,15.287084,15.347866,13.663631,13.665507,13.665507,1249465436
2021-04-04,13.668491,14.639416,13.574623,14.617213,14.617213,1073143924
2021-04-05,14.618994,16.127941,14.490295,16.127941,16.127941,1785209149
2021-04-06,16.124739,18.597815,16.076374,17.861551,17.861551,2841602885
2021-04-07,17.849840,20.805937,17.185072,19.191849,19.191849,4946490947
2021-04-08,19.233610,19.833790,18.070652,19.503685,19.503685,2265440249
2021-04-09,19.512377,20.014534,18.639412,18.769871,18.769871,1331482647
2021-04-10,18.776571,21.173512,18.369932,20.393379,20.393379,1800282748
2021-04-11,20.424089,21.499508,19.869282,20.433681,20.433681,1686351598
2021-04-12,20.412703,20.512613,19.040409,19.532633,19.532633,1333744032
2021-04-13,19.523561,21.992971,19.402653,21.223061,21.223061,1841866798
2021-04-14,21.211296,22.715536,20.239262,21.977852,21.977852,2105367284
2021-04-15,21.950300,29.805870,21.521152,28.652197,28.652197,3896283267
2021-04-16,28.634155,46.070629,28.634155,38.537415,38.537415,10635029251
2021-04-17,38.406704,49.668842,37.776535,38.321636,38.321636,9132671645
2021-04-18,38.218830,39.507370,31.797495,37.008114,37.008114,6861788500
